,name,season,review-link,year
0,Winter Is Coming,1,https://www.imdb.com/title/tt1480055/reviews,2011
1,The Kingsroad,1,https://www.imdb.com/title/tt1668746/reviews,2011
2,Lord Snow,1,https://www.imdb.com/title/tt1829962/reviews,2011
3,"Cripples, Bastards, and Broken Things",1,https://www.imdb.com/title/tt1829963/reviews,2011
4,The Wolf and the Lion,1,https://www.imdb.com/title/tt1829964/reviews,2011
5,A Golden Crown,1,https://www.imdb.com/title/tt1837862/reviews,2011
6,You Win or You Die,1,https://www.imdb.com/title/tt1837863/reviews,2011
7,The Pointy End,1,https://www.imdb.com/title/tt1837864/reviews,2011
8,Baelor,1,https://www.imdb.com/title/tt1851398/reviews,2011
9,Fire and Blood,1,https://www.imdb.com/title/tt1851397/reviews,2011
10,The North Remembers,2,https://www.imdb.com/title/tt1971833/reviews,2012
11,The Night Lands,2,https://www.imdb.com/title/tt2069318/reviews,2012
12,What Is Dead May Never Die,2,https://www.imdb.com/title/tt2070135/reviews,2012
13,Garden of Bones,2,https://www.imdb.com/title/tt2069319/reviews,2012
14,The Ghost of Harrenhal,2,https://www.imdb.com/title/tt2074658/reviews,2012
15,The Old Gods and the New,2,https://www.imdb.com/title/tt2085238/reviews,2012
16,A Man Without Honor,2,https://www.imdb.com/title/tt2085239/reviews,2012
17,The Prince of Winterfell,2,https://www.imdb.com/title/tt2085240/reviews,2012
18,Blackwater,2,https://www.imdb.com/title/tt2084342/reviews,2012
19,Valar Morghulis,2,https://www.imdb.com/title/tt2112510/reviews,2012
20,Valar Dohaeris,3,https://www.imdb.com/title/tt2178782/reviews,2013
21,"Dark Wings, Dark Words",3,https://www.imdb.com/title/tt2178772/reviews,2013
22,Walk of Punishment,3,https://www.imdb.com/title/tt2178802/reviews,2013
23,And Now His Watch Is Ended,3,https://www.imdb.com/title/tt2178798/reviews,2013
24,Kissed by Fire,3,https://www.imdb.com/title/tt2178788/reviews,2013
25,The Climb,3,https://www.imdb.com/title/tt2178812/reviews,2013
26,The Bear and the Maiden Fair,3,https://www.imdb.com/title/tt2178814/reviews,2013
27,Second Sons,3,https://www.imdb.com/title/tt2178806/reviews,2013
28,The Rains of Castamere,3,https://www.imdb.com/title/tt2178784/reviews,2013
29,Mhysa,3,https://www.imdb.com/title/tt2178796/reviews,2013
30,Two Swords,4,https://www.imdb.com/title/tt2816136/reviews,2014
31,The Lion and the Rose,4,https://www.imdb.com/title/tt2832378/reviews,2014
32,Breaker of Chains,4,https://www.imdb.com/title/tt2972426/reviews,2014
33,Oathkeeper,4,https://www.imdb.com/title/tt2972428/reviews,2014
34,First of His Name,4,https://www.imdb.com/title/tt3060856/reviews,2014
35,The Laws of Gods and Men,4,https://www.imdb.com/title/tt3060910/reviews,2014
36,Mockingbird,4,https://www.imdb.com/title/tt3060876/reviews,2014
37,The Mountain and the Viper,4,https://www.imdb.com/title/tt3060782/reviews,2014
38,The Watchers on the Wall,4,https://www.imdb.com/title/tt3060858/reviews,2014
39,The Children,4,https://www.imdb.com/title/tt3060860/reviews,2014
40,The Wars to Come,5,https://www.imdb.com/title/tt3658012/reviews,2015
41,The House of Black and White,5,https://www.imdb.com/title/tt3846626/reviews,2015
42,High Sparrow,5,https://www.imdb.com/title/tt3866836/reviews,2015
43,Sons of the Harpy,5,https://www.imdb.com/title/tt3866838/reviews,2015
44,Kill the Boy,5,https://www.imdb.com/title/tt3866840/reviews,2015
45,"Unbowed, Unbent, Unbroken",5,https://www.imdb.com/title/tt3866842/reviews,2015
46,The Gift,5,https://www.imdb.com/title/tt3866846/reviews,2015
47,Hardhome,5,https://www.imdb.com/title/tt3866850/reviews,2015
48,The Dance of Dragons,5,https://www.imdb.com/title/tt3866826/reviews,2015
49,Mother's Mercy,5,https://www.imdb.com/title/tt3866862/reviews,2015
50,The Red Woman,6,https://www.imdb.com/title/tt3658014/reviews,2016
51,Home,6,https://www.imdb.com/title/tt4077554/reviews,2016
52,Oathbreaker,6,https://www.imdb.com/title/tt4131606/reviews,2016
53,Book of the Stranger,6,https://www.imdb.com/title/tt4283016/reviews,2016
54,The Door,6,https://www.imdb.com/title/tt4283028/reviews,2016
55,Blood of My Blood,6,https://www.imdb.com/title/tt4283054/reviews,2016
56,The Broken Man,6,https://www.imdb.com/title/tt4283060/reviews,2016
57,No One,6,https://www.imdb.com/title/tt4283074/reviews,2016
58,Battle of the Bastards,6,https://www.imdb.com/title/tt4283088/reviews,2016
59,The Winds of Winter,6,https://www.imdb.com/title/tt4283094/reviews,2016
60,Dragonstone,7,https://www.imdb.com/title/tt5654088/reviews,2017
61,Stormborn,7,https://www.imdb.com/title/tt5655178/reviews,2017
62,The Queen's Justice,7,https://www.imdb.com/title/tt5775840/reviews,2017
63,The Spoils of War,7,https://www.imdb.com/title/tt5775846/reviews,2017
64,Eastwatch,7,https://www.imdb.com/title/tt5775854/reviews,2017
65,Beyond the Wall,7,https://www.imdb.com/title/tt5775864/reviews,2017
66,The Dragon and the Wolf,7,https://www.imdb.com/title/tt5775874/reviews,2017
67,Winterfell,8,https://www.imdb.com/title/tt5924366/reviews,2019
68,A Knight of the Seven Kingdoms,8,https://www.imdb.com/title/tt6027908/reviews,2019
69,The Long Night,8,https://www.imdb.com/title/tt6027912/reviews,2019
70,The Last of the Starks,8,https://www.imdb.com/title/tt6027914/reviews,2019
71,The Bells,8,https://www.imdb.com/title/tt6027916/reviews,2019
72,The Iron Throne,8,https://www.imdb.com/title/tt6027920/reviews,2019
