,num-episode,review-score,positive-negative,review-title,review-comment
0,0,7,0," Cool SF, but dumb writing, and teens
","SF about how humanity's sole survivors were on space stations for 100 years after Earth was rendered uninhabitable by nuclear war. The stations are failing, so criminals (juveniles) are being sent to Earth prematurely and desperately. Teens are so handy for TV, people like to look at them, and dramatic conflict can be easily stirred up on the pretence of immaturity. Excessive drama is not just excused, but mandated, to seem realistic. Anyway, the forest was gorgeous, but with startling and unexpected elements, the girls were pretty, I liked the concept. But there was quite a bit that was just bone dumb. For instance, the stations are running out of time, in their desperately closed ecosystem, so they execute people, for any misdemeanour, by flushing them, alive, with their bodies full of water and nutrients, out into space along with an airlock full of air."
1,0,7,0," Interesting plot, boring & annoying characters
","I like the plot though, but these characters are so boring and annoying. They do stupid things and that makes the story less enjoyable."
2,0,2,0," Had potential but quickly ruined with cliche teenage issues
",Couldn't get past 10 minutes of episode 1. The show had potention with its story line but it's ruined with the overly used cliche teenage drama and terribly played out issues that even 10 year old kids are smarter to work out. Was painful to watch the first episode.. Very painful
3,0,10,1," Ignore first couple of episodes
",They don't make justice to what the show becomes after.
4,0,7,0," Just watch and stop thinking
","Once you can see the premise of this program, the healthy thing is to turn off the brain and just look at the screen to see what the screenwriters come up with. Some turns are interesting and surprising, there is originality (sometimes) that is a pleasant surprise. Unfortunately the writers themselves exaggerate the level of stupidity of the protagonists, who do stupid thing after stupid thing, no matter how teenagers they are. I'm afraid that even with the spectator's brain off, that's already too hard to swallow.Another thing that is surprising is the schizophrenic personality of the characters. Many are transformed from stupid to wise at one time or another, many bad guys are transformed into good guys without explanation, then they become stupid or evil again without explanation. As I said, however, turn off your brain and be surprised.In any case, it will always be more fun than watching plants grow."
5,0,6,0," Entertaining, but can't take it seriously
","The main problem I have with this is the cliché characters: The slutty annoying attention whore (Octavia), the douchey guys that only care about getting laid (Jasper and Monty), the girl with troubled past (Clarke), whose sole purpose in this pilot episode is constant exposition, and the rebellious ones that have seemingly no redeeming qualities as characters yet and just like to be dicks for fun (John and his gang) for the most part. Whose idea was it to send a bunch of children down to earth? Why not adult prisoners?There were so many damn lens flares in this it got quite distracting. I had to check that this wasn't made by JJ Abrams because it looked like it was. Additionally, the obvious mainstream pop music that played every other scene got pretty annoying. The show in the end is entertaining enough to keep watch, as long as I don't take it too seriously."
6,0,7,0," Fun and breezy
","Young adult sci-fi. Haven't we have too many of those already? Well, the first episode of ""The 100"" shows that, if you do it well enough, a done-to-death idea can be fun enough.Here we have all the ingredients of these kind of shows: 100 under eighteen people are sent back to Earth from a space station, after humanity had to run away (some kind of nuclear war). This 100 very mature and resourceful people (cough cough) include everyone in a 101 YA sci-fi: nerd guy, reckless girl, god-complex suffering guy, etc etc. You will know from second one who is going to get together with, and then who is going to split with to start a relationship with... The summon of originality. The group dynamics don't differ much from this idea: who is the leader, who wants to be the leader, who doesn't but will be...But even if we have seen this a hundred (sorry?) times, the package is nice, the young actors do a good job, and the adults (which include people from ""Lost"", ""Battlestar Galactica"" and others) too, and it's always nice to have some dystopian series to watch, as it is easy on the eye and fast paced. And it may hold one or two cards up its sleeve yet."
7,0,6,0," Good plot, bad execution
","The plot is very interesting imo, and I think the show still has potential after this episode. But man did I want to stop watching halfway through. The pacing is overly quick, meaning we hardly get to know any of these characters. Almost all of them fall into predictable stereotypes, and there is no real substance to any of them besides maybe Wells. The dialogue is really cringe, and the exposition is laughable. Instead of finding things out as we go along, people say things like ""Octavia! The girl who spent 16 years hiding on the Ark"". Nobody says things like that in real life, and it pulled me out of the scene. Then there's something like ""We're back, b*****s!"", which got my eyes rolling, and takes us out of the scene again, because that sounds like something a teen in the 2010s would say, not someone in the future. It's immersion breaking and simply bad writing. But overall, it was a cringe yet pretty fun episode that could lead to better things down the road."
8,0,6,0," Has Potential, But Misses The Mark
","The 100 has been on our screens for more than half a decade, and I have never been a fan, I watched the first season and gave up on it.I watched the first season with my youngest son who was 8 at the time (13 now) and he was instantly hooked, It was a slog for me to get through the first season and I gave up. Fast forward to this year, and whilst waiting for season 6 to end (he likes to binge watch them) he decided to start them again and we made a deal, I would watch every episode of this, and once we were up to date, he would watch every episode of a show of my choosing!! I'm thinking Taxi.My biggest problem with the pilot episode is that it is too 'teen friendly,' The cast is full of impossibly good looking teenagers (all with great hair) who can't really act.Most of its characters are ridiculously cliche (especially the teenagers) Octavia Blake (Marie Avgeropulos) is painful to watch!! The wannabe head cheerleader/wannabe bad girl rolled into one. Like most of the cast, she is good looking but can not act. Her bad boy leader of the pack rebel brother Blake (Bob Morley) is better, but he is kind of bland. Monty (Christopher Larkin) and Jasper (Devon Bostick) are the horny comedy duo and are ok, Finn (Thomas McDonell) is the good looking rebel who Octavia fancies, but he only seems to have eyes for Clarke (Eliza Taylor) and he is a disaster, he is to blame for two deaths early on and doesn't care, its quickly forgotten on the next scene!! Then there is our heroine Clarke, we know she is the hero due to her monologue and her do the right thing, sensible attitude.On the Ark we meet Abby Griffin (Paige Turco) who is take charge and probably the best actor in the pilot. Marcus Kane (Henry Ian Cusick) with too much guy liner and suspiciously dark hair is in full on pantomime villain mode and Thelonious Jaha (Isaiah Washington) isn't given much to do, but he has an important role.Overall I'm reminded why I didn't like it."
9,0,8,1," It was good.
",It was a really fresh and charming start I wonder why do they rate it like this.
