,num-episode,review-score,positive-negative,review-comment
849,72,1,0,A disappointing ending I hope Season 8 will be filmed again
308,21,6,0,"Last night, the relentless, unforgiving slog of story reminded me of the Night's Watch's torturous death march toward The Wall."
612,50,4,0,"This show is really going downhill. Almost nothing is working good in this 6th season premiere. The script is more and more unlikely and illogical. Sansa and Theon obviously got to make that huge jump from the wall unharmed. Then Sansa, North's blood, is afraid of a cold river while Ramsey's dogs are barking behind her. Bolton hounds magically disappear the precise instant they find Sansa. Then Brienne arrives, who easily save the day by killing off all the (6? 7? 8?) Bolton soldiers. Dorne is still cartoonish and pointless. As a remedy for the lack of agency shown by prince Doran versus the Lannisters (who had killed some beloved members of Martell family), they decide to kill all the remaining line of the Martells. After such an unlikely coup, they clearly plan to move at war against the Lannisters, in order to avenge some of the Martells (Elia and Oberyn, who actually died in a trial by combat). Seriously? The circumstances of the coup are completely insane and not worthy mention. The killing of Trystane was also ridiculous. Where are those two sandsnakes coming from? A boat sneaking unseen in King's Landing harbor, out of nowhere? The confrontation inside the ship, with Trystane's death, is very badly executed, with a ridiculous final sentence by one of the snakes (""Greedy pussy"", the bar hasn't got much higher since the ""bad pussy"" line fro season 5). Roose Bolton speech, fearing for the Lannisters to come against the North, was pointless: the issue definitely should have been arisen before. At the Wall: Ghost's howling, just a few minutes after the murdering, immediately summons Davos and the other guys (who couldn't hear any noise during the lengthy ""for the watch"" sequence, but suddenly run at Ghost's howl). Jon's friends are all at once gathered, and no one else, around Jon's corpse. They immediately know they are the only few loyal brothers. They don't ever bother attending the general meeting. The public explanation for Lord Commander's killing was weak and definitely unconvincing, since the wildlings had already come in. What was Jon's murder aimed to avoid, at that point? What was supposed to be the plan? Taking the wildlings back beyond the Wall? Calling northern houses to engage a battle against the wildlings sitting in the Gift? Weak, pointless plan. And what the hell are Davos, Edd and the other guys doing with Jon's corpse? Are they barricaded to defend Jon's dead body? Why on earth? Because they are expecting him to resurrect? Never heard of anything like that as a reaction to someone's death. Never. In Essos too, everything looks messy: where did Drogon end up? Vanished into nothing? The entire horde with thousands of Dothraki couldn't see him? How come the entire fleet is burnt in a few seconds? Was it left unguarded? But what's worse is that many of the dialogs are dull and boring, uninteresting. The pace is boring. This is the long awaited first episode and already many scenes sound like fillers. The charm, the subtlety and the brilliancy of the first seasons is gone. No confidence in what's coming."
614,50,1,0,"Where the hell were Davos and Jon's friends at the time of his death? They didn't hear anything? REALLY?Bolton's men destroyed Stannis' camp last season but couldn't fight Brienne and Pod? Really?Sand Snakes killing Doran, Areo Hotah and Trystane and that's fine? Where are the dornish army? REALLY?With the Martell now extinct, who is going to rule Dorne? Bastards? REALLY?Martell is the second family to be completely extinct by the producers. We've already said goodbye to Baratheons.Daenerys keeps getting ""special writing treatment"". Do you really think a horde of dothraki would do nothing to her only because she was Drogo's wife? OK then.That Melisandre scene. Unnecessary. The old clichê of the beautiful witch who is actually an old hag.There is no ""game of thrones"" anymore. No political schemes. No conspiracy. The game is over. And it got replaced with an awful fan-fiction."
616,50,1,0,"The 'Sand Snakes' alone brought this episode down completely. The writers seem to be pandering to the lowest common denominator with numerous short scenes where little of consequence happens, and the favourite characters banter back and forth with cringe worthy dialogue. It is clear that HBO producers don't expect their audience to understand anything subtle or interesting at all, and so have reduced the formula to: people die, people copulate, people have short vapid exchanges. The only way they could redeem the show for me now is for the next episode to be a 60 minute sequence of the Sand Snakes being hung, drawn and quartered in vivid detail."
617,50,1,0,"With 6.1 Game of Thrones has officially gotten to the point where I feel like everything has screeched to a halt. The first few seasons of the show were some of the best television ever made, and with S5 and from the looks of the first episode of this season the formula is getting stale. We get 40 minutes per episode of nothing happening followed by 5 minutes of mediocre ending with 2 minutes of excellent. With only 1 good episode per season since 4 I'm beginning to feel like watching this show is nothing but a chore. Not to mention the glaring continuity errors and plot holes this one episode had. Game of Thrones, you used to be good. What happened?"
572,45,1,0,"I did not like the change in Sansa's story line at all! Maybe they wanted to make her story more interesting but they failed at that, I believe. What happened to Sansa was completely unnecessary, like she hasn't had enough! Why should she endure this? To become stronger? Utter crap! I'd suggest to the writers to stick to the books and not to make such drastic changes to the events!The fighting scene of the sand snakes was horrible as well, very poorly done, it felt like they did not even rehearse the battle choreography or something. The only thing I liked was the progress in Arya's story. Nothing else.What has happened to them this season? Are they in a hurry to wrap it up?"
571,45,4,0,"one of worst and poorest episodes of GOT. battle scene between prince O'Brien's girls and king slayer was super terrible, very poor very low quality and so far from GOT's class.the ending scene of episode completed the misery. the only way writer knows to make show great and attractive is to shock people with torturing scenes of characters which they like, characters that have more humanity, more kindness and in overall good humans! this way worked at first, with executing Ned stark and killing rob stark, but not anymore! why we should watch sansa (an innocent poor kind girl!) get raped by a crazy psycho bastard and hear her whines? should we enjoy this scene?does always seeing good people go to misery makes a movie great ?"
734,62,1,0,"I don't know what to say about got anymore, every episode it gets more Hollywood clichés. So much things were mistaken. Dialogs were amateur. Its not linked to book anymore but can someone explain how can someone lead to kings landing without passing dragonisland, and probably they invented teleportation. Fleet appears suddenly on casterly rock. they don't even look at the map. so many irrational events. Many great wars happened in three episodes and none of them makes any sense How can you defeat highgarden??Just look at the map of GoT. Hopefully some of the screenwriter sees but looks like its too late.. Of course there are a lot of eyecandies and super quotes but...."
610,50,5,0,"This show is really going downhill. Almost nothing is working good in this 6th season premiere. The script is more and more unlikely and illogical. Dorne is still cartoonish and pointless. The killing of Trystane was ridiculous. Where are those two sandsnakes coming from? A boat sneaking unseen in King's Landing harbor, out of nowhere? Roose Bolton speech, fearing for the Lannisters to come against the North, was pointless: the issue definitely should have been arisen before. At the Wall: the public explanation for Lord Commander's killing was weak and definitely unconvincing, since the wildlings had already come in. What was Jon's murder aimed to avoid, at that point? Weak and meaningless. And what the hell are Davos, Edd and the other guys doing with Jon's corpse? Are they barricaded to defend Jon's dead body? Why on earth? Because they are expecting him to resurrect? Never heard of anything like that as a reaction to someone's death. Never. And Sansa, North's blood, who is afraid of a cold river when Ramsey's dogs are barking behind her? In Essos too, everything looks messy: where did Drogon end up? Vanished into nothing? The entire horde with thousands of Dothraki couldn't see him? But what's worse is that the dialogs are dull and boring, uninteresting. The pace is boring. This is the long awaited first episode and already many scenes sound like fillers. The charm, the subtlety and the brilliancy of the first seasons is gone. No confidence in what's coming."
